ECG;EMG;EDA;CATEGORY
-0.0146484375;507.0;161.0;post_test_sensors_2
-0.017578125;519.0;159.0;post_test_sensors_2
-0.0263671875;531.0;157.0;post_test_sensors_2
-0.011718749999999998;504.0;159.0;post_test_sensors_2
-0.0234375;496.0;159.0;post_test_sensors_2
-0.029296875;516.0;162.0;post_test_sensors_2
-0.03515625;522.0;161.0;post_test_sensors_2
-0.0234375;472.0;158.0;post_test_sensors_2
-0.0087890625;502.0;161.0;post_test_sensors_2
0.3515625;505.0;161.0;post_test_sensors_2
-0.011718749999999998;523.0;162.0;post_test_sensors_2
-0.017578125;503.0;157.0;post_test_sensors_2
-0.0380859375;517.0;157.0;post_test_sensors_2
0.0;497.0;157.0;post_test_sensors_2
-0.017578125;505.0;160.0;post_test_sensors_2
-0.0234375;509.0;162.0;post_test_sensors_2
-0.0263671875;520.0;162.0;post_test_sensors_2
-0.0205078125;455.0;162.0;post_test_sensors_2
0.05859375;493.0;159.0;post_test_sensors_2
-0.0234375;462.0;158.0;post_test_sensors_2
-1.4999999999999998;512.0;162.0;post_test_sensors_2
-0.0029296875;482.0;160.0;post_test_sensors_2
-0.0380859375;511.0;157.0;post_test_sensors_2
-0.076171875;499.0;160.0;post_test_sensors_2
-0.005859374999999999;527.0;157.0;post_test_sensors_2
-0.0234375;485.0;160.0;post_test_sensors_2
0.0087890625;491.0;161.0;post_test_sensors_2
-0.0205078125;502.0;162.0;post_test_sensors_2
-0.0205078125;492.0;162.0;post_test_sensors_2
0.2138671875;491.0;162.0;post_test_sensors_2
-0.0146484375;495.0;160.0;post_test_sensors_2
0.0146484375;518.0;160.0;post_test_sensors_2
0.357421875;510.0;161.0;post_test_sensors_2
-0.03515625;494.0;162.0;post_test_sensors_2
-0.0263671875;523.0;161.0;post_test_sensors_2
0.0;515.0;158.0;post_test_sensors_2
-0.0146484375;504.0;159.0;post_test_sensors_2
-0.005859374999999999;507.0;161.0;post_test_sensors_2
-0.0234375;515.0;161.0;post_test_sensors_2
-0.03222656249999998;496.0;160.0;post_test_sensors_2
-0.029296875;482.0;160.0;post_test_sensors_2
-0.0234375;498.0;162.0;post_test_sensors_2
-0.05859375;527.0;161.0;post_test_sensors_2
-0.0234375;514.0;162.0;post_test_sensors_2
-0.5156249999999999;497.0;162.0;post_test_sensors_2
-0.0234375;529.0;161.0;post_test_sensors_2
-0.9287109375;515.0;158.0;post_test_sensors_2
-0.017578125;512.0;160.0;post_test_sensors_2
-0.0234375;510.0;162.0;post_test_sensors_2
0.146484375;504.0;157.0;post_test_sensors_2
0.19921875;508.0;161.0;post_test_sensors_2
-0.005859374999999999;506.0;162.0;post_test_sensors_2
-0.92578125;534.0;157.0;post_test_sensors_2
-0.0263671875;484.0;157.0;post_test_sensors_2
-0.0146484375;520.0;161.0;post_test_sensors_2
-0.0234375;481.0;157.0;post_test_sensors_2
-0.0146484375;522.0;157.0;post_test_sensors_2
-0.0205078125;452.0;159.0;post_test_sensors_2
-0.029296875;513.0;161.0;post_test_sensors_2
-0.017578125;484.0;157.0;post_test_sensors_2
0.0;519.0;157.0;post_test_sensors_2
-0.0205078125;510.0;161.0;post_test_sensors_2
0.0;510.0;161.0;post_test_sensors_2
-0.0498046875;513.0;161.0;post_test_sensors_2
-0.017578125;513.0;158.0;post_test_sensors_2
-0.017578125;498.0;161.0;post_test_sensors_2
-0.0029296875;528.0;160.0;post_test_sensors_2
-0.03222656249999998;509.0;157.0;post_test_sensors_2
-0.0234375;468.0;161.0;post_test_sensors_2
-0.0234375;501.0;161.0;post_test_sensors_2
-0.0205078125;547.0;158.0;post_test_sensors_2
